"Rk","Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Notes","Team","Year"
14,"Jack Lynch",36,96,83,15,18,3,0,1,8,4,1,8,18,0.217,0.305,0.289,0.595,24,NA,3,1,1,0,NA,"152b121e",2022
15,"Calvin McCall",32,82,62,9,16,2,1,0,9,7,4,9,19,0.258,0.432,0.323,0.755,20,NA,10,1,0,0,NA,"152b121e",2022
16,"Chaz Myers",36,126,106,15,40,7,0,3,18,5,3,11,26,0.377,0.463,0.528,0.992,56,NA,6,3,0,0,NA,"152b121e",2022
17,"Cal Parrillo",19,65,51,8,12,0,0,0,7,1,0,10,7,0.235,0.369,0.235,0.605,12,NA,2,0,2,0,NA,"152b121e",2022
18,"Logan Pfannenbecker",3,9,8,0,1,0,0,0,1,0,0,1,2,0.125,0.222,0.125,0.347,1,NA,0,0,0,0,NA,"152b121e",2022
19,"Joe Rios",34,104,81,20,22,4,0,1,17,8,0,20,24,0.272,0.433,0.358,0.791,29,NA,3,0,0,0,NA,"152b121e",2022
20,"Boston Smith",20,50,42,4,12,1,0,2,6,0,0,6,13,0.286,0.4,0.452,0.852,19,NA,2,0,0,0,NA,"152b121e",2022
21,"Matt Smith",26,75,66,13,18,3,0,0,6,5,1,7,20,0.273,0.347,0.318,0.665,21,NA,1,0,1,1,NA,"152b121e",2022
22,"Matt Smith",11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,"152b121e",2022
23,"Josh Spiegel",18,48,41,6,6,0,0,1,5,0,0,7,14,0.146,0.271,0.22,0.49,9,NA,0,0,0,1,NA,"152b121e",2022
24,"Zach Stephenson",22,52,42,2,6,1,0,0,5,2,0,8,15,0.143,0.289,0.167,0.455,7,NA,1,0,1,0,NA,"152b121e",2022
25,"Billy Sullivan",3,9,9,0,2,1,0,0,1,0,0,0,3,0.222,0.222,0.333,0.556,3,NA,0,0,0,0,NA,"152b121e",2022
26,"Carson Swank",31,81,69,11,14,3,0,1,9,1,0,6,12,0.203,0.309,0.29,0.599,20,NA,5,0,1,0,NA,"152b121e",2022
27,"Derek Tenney",33,112,94,17,26,3,0,2,25,7,3,13,26,0.277,0.378,0.372,0.751,35,NA,3,1,1,0,NA,"152b121e",2022
28,"Ryan Wilson",26,106,81,17,18,3,0,1,14,4,1,20,19,0.222,0.391,0.296,0.687,24,NA,3,1,1,1,NA,"152b121e",2022
